"GEOID","number_providers","mean_lowest_cost"
53001950100,12,54.25
53001950200,12,56.0833333333333
53001950301,8,53
53001950302,8,53
53001950303,8,53
53001950400,9,52.2222222222222
53001950500,9,52.2222222222222
53003960100,12,58
53003960200,13,60.0769230769231
53003960300,11,60
53003960400,8,62.5
53003960500,8,62.5
53003960600,9,58.8888888888889
53019940000,12,52.25
53019970100,12,51.1666666666667
53019970200,12,51.1666666666667
53023970300,12,58
53043960100,8,50.375
53043960200,13,56.4615384615385
53043960300,11,54
53043960400,13,56.4615384615385
53051970100,7,63
53051970200,13,56.0769230769231
53051970300,7,61.1428571428571
53051970400,8,59.75
53051970500,8,59.75
53063000201,7,62.7142857142857
53063000202,8,61.125
53063000301,8,61.125
53063000302,8,61.125
53063000400,9,57.6666666666667
53063000500,9,57.6666666666667
53063000600,8,61.125
53063000700,8,61.125
53063000800,8,61.125
53063000900,8,61.125
53063001000,8,61.125
53063001100,8,61.125
53063001200,8,61.125
53063001300,9,57.6666666666667
53063001400,9,57.6666666666667
53063001500,8,61.125
53063001600,8,61.125
53063001800,8,61.125
53063001900,8,61.125
53063002000,8,61.125
53063002100,8,61.125
53063002300,8,61.125
53063002400,8,61.125
53063002501,8,61.125
53063002502,8,61.125
53063002503,8,61.125
53063002600,8,61.125
53063002900,8,61.125
53063003000,9,60.7777777777778
53063003100,8,61.125
53063003200,9,58.7777777777778
53063003500,10,55.9
53063003601,8,61.125
53063003602,8,61.125
53063003800,8,61.125
53063003900,8,61.125
53063004001,8,61.125
53063004002,8,61.125
53063004100,8,61.125
53063004200,8,61.125
53063004300,8,61.125
53063004400,8,61.125
53063004500,9,58.7777777777778
53063004601,8,61.125
53063004602,8,61.125
53063004701,7,54.1428571428571
53063004702,9,61
53063004800,8,54.875
53063004900,9,61
53063005000,8,61.125
53063010101,9,61
53063010102,5,67.6
53063010201,8,61.125
53063010203,8,61.125
53063010204,8,61.125
53063010301,8,61.125
53063010303,11,57.1818181818182
53063010304,10,59.9
53063010305,9,61
53063010401,10,58.9
53063010403,9,62.1111111111111
53063010404,8,61.125
53063010504,7,62.7142857142857
53063010505,8,61.125
53063010507,8,61.125
53063010508,8,61.125
53063010601,8,61.125
53063010603,8,61.125
53063010604,8,61.125
53063010701,8,61.125
53063010702,7,62.7142857142857
53063010800,8,61.125
53063010901,8,61.125
53063010902,8,61.125
53063011000,8,61.125
53063011102,8,61.125
53063011103,8,61.125
53063011104,8,61.125
53063011202,8,61.125
53063011203,8,61.125
53063011204,7,62.7142857142857
53063011301,8,61.125
53063011302,8,61.125
53063011400,9,61
53063011500,7,54.1428571428571
53063011600,7,54.1428571428571
53063011701,7,54.1428571428571
53063011702,7,54.1428571428571
53063011800,6,54.8333333333333
53063011900,7,54.1428571428571
53063012000,8,53.625
53063012100,7,54.1428571428571
53063012200,8,61.125
53063012300,8,54.625
53063012401,7,54.1428571428571
53063012402,7,55.5714285714286
53063012500,7,54.1428571428571
53063012600,7,54.1428571428571
53063012701,6,54.8333333333333
53063012702,6,54.8333333333333
53063012801,6,54.8333333333333
53063012802,6,54.8333333333333
53063012901,6,54.8333333333333
53063012902,6,54.8333333333333
53063013001,6,54.8333333333333
53063013002,6,54.8333333333333
53063013003,7,55.5714285714286
53063013101,6,64.8333333333333
53063013102,4,57
53063013201,7,62.7142857142857
53063013203,7,62.7142857142857
53063013205,4,57
53063013300,12,54.9166666666667
53063013401,7,54.1428571428571
53063013501,9,61
53063013502,9,61
53063013503,9,61
53063013600,10,61.9
53063013700,11,59
53063013800,10,60.9
53063013900,10,58.9
53063014001,8,63.5
53063014002,9,59.7777777777778
53063014100,11,57.7272727272727
53063014200,12,54.8333333333333
53063014300,13,53.7692307692308
53063014400,8,61.125
53063014500,10,58.7
53065941000,8,50.5
53065950101,7,63.4285714285714
53065950102,9,58.7777777777778
53065950200,12,55.9166666666667
53065950300,12,55.9166666666667
53065950500,11,56.4545454545455
53065950600,12,55.9166666666667
53065950700,9,59.6666666666667
53065950800,11,57.8181818181818
53065950900,9,59.6666666666667
53065951100,9,59.6666666666667
53065951301,8,61
53065951302,9,56.3333333333333
53065951401,6,64.6666666666667
53065951402,8,61
53075000100,8,57
53075000201,9,54.2222222222222
53075000202,7,57.8571428571429
53075000300,12,53.5833333333333
53075000400,8,57.5
53075000500,7,57.8571428571429
53075000601,8,57
53075000602,7,57.8571428571429
53075000700,12,54.25
53075000800,11,52.3636363636364
53075000900,17,49.4705882352941
53075001000,19,51.1578947368421
